Site,Target,MAE,RMSE,R2,Bias
site_1,O3_target,5.308872838410192,8.298665379652745,0.9665551044077544,1.175334983081937
site_1,NO2_target,4.221673397927913,7.898937378148115,0.8294585923633426,-1.194068249036681
site_2,O3_target,6.133649708076759,8.775726356477975,0.9266916894155831,-0.8103300294758362
site_2,NO2_target,2.9712386623429663,4.390528715343357,0.8055765214720056,0.41031207897044986
site_3,O3_target,8.096337974436961,10.252040651413761,0.953647115928076,1.4206175730350248
site_3,NO2_target,4.3514937521245365,6.992192487157326,0.8925349172597828,1.0004976136841042
site_4,O3_target,7.069937148156105,9.826594085571145,0.9427531786972393,-1.6800789786004398
site_4,NO2_target,3.5750415293582076,5.953068746225304,0.8316133605243792,-0.5271560545710774
site_5,O3_target,9.020108177039274,12.195481465366331,0.885561482959855,-1.0829780656365064
site_5,NO2_target,5.022450446232109,8.162032006886726,0.8671914539943257,-0.30606347090119784
site_6,O3_target,15.553982089676472,25.144844674200844,0.7088391586226356,-12.29311251723248
site_6,NO2_target,3.641277100106944,5.764134643575827,0.8635915207387208,-2.4798682747124143
site_7,O3_target,7.889781911623227,10.209727449409982,0.9427322583676203,-0.6186154871053626
site_7,NO2_target,3.05791173601484,6.288970245408853,0.8482189107090911,-1.378264346889683
